id,name,code,institutionCode,campusCode,libraryCode,discoveryDisplayName,isActive,primaryServicePointCode,servicePointCodes,description,details.stackmapBaseUrl,details.pageAeonSite,details.pageMediationGroupKey,details.pageServicePointCodes,details.discoveryDisplayUrl,details.scanServicePointCode,details.availabilityClass,details.searchworksTreatTemporaryLocationAsPermanentLocation,details.searchworksGovDocsClassification,details.scanMaterialTypeNames,details.scanPseudopatronBarcode,details.holdingsTypeName,details.pagingSchedule
001b3092-b2ed-44a1-8057-a99d3dcecedc,East Asia Reference,EAL-REF,SU,SUL,EAST-ASIA,Reference,true,EAST-ASIA,EAST-ASIA,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
0047160a-acae-4c9d-bfbd-f4f738c2fa3c,Earth Sci Shelved Elsewhere,EAR-SEE-OTHER,SU,SUL,EARTH-SCI,See linked record to request items bound together,true,EARTH-SCI,EARTH-SCI,,,,,,,,,,,,,,
006e0b2c-0066-448b-bfac-ce3bfeacca69,Law Permanent Reserve,LAW-PERMRES,SU,LAW,LAW,Permanent reserve: Ask at circulation desk,true,LAW,LAW,,,,,,,,,,,,,,
008ba3b9-5737-4c49-9f49-a52e5f1b0e21,Green Circ Desk,GRE-ATCIRCDESK,SU,SUL,GREEN,Ask at circulation desk,true,GREEN-LOAN,GREEN-LOAN,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
00ae4182-8c62-47d7-a27a-1b23fc931d77,Music Stacks,MUS-STACKS,SU,SUL,MUSIC,Stacks,true,MUSIC,MUSIC,,,,,,,,,,,,,,
010c04f8-d204-49ce-8192-5d0bcbc0a5c1,Rumsey W7 Case HM,RUM-W7-CASE-HM,SU,SUL,RUMSEY-MAP,Map Center (W7 historic map case),true,RUMSEY-MAP,RUMSEY-MAP,,,RUMSEY,,,,,,,,,,,
01a4f6dc-7625-4715-b4f2-97dfe0325a60,Art Reference Folios,ART-REF-FOLIO,SU,SUL,ART,Reference: Oversize,true,ART,ART,,https://stanford.stackmap.com/json/,,,,,,,,,,,,
01e91968-2e52-4733-bbcc-b4641560411d,Art Locked Stacks Small,ART-LOCKED-SMALL,SU,SUL,ART,Locked stacks (Small),true,ART,ART,,,,ART,ART,,,,,,,,,
0254a167-75af-4170-8bff-6b3fd6220e6c,Spec Law,SPEC-LAW,SU,SUL,SPEC-COLL,Law Collection,true,SPEC,SPEC,,,SPECUA,,,,,,,,,,,
02844385-781a-4b71-87d7-64641c87b6e1,Lane Spec: Periodicals,LANE-PSPEC,SU,MED,LANE,Medical History Center: By appointment only.,true,LANE-DESK,LANE-DESK,,,,,,https://lane.stanford.edu/med-history/contact.html,,,,,,,,
