HOMELOCATION	LIBRARY	folio_code
FOLIO	ARS	ARS-FOLIO
LOCKED-STK	ARS	ARS-LOCKED
*	ARS	ARS-MIGRATE-ERR
RECORDINGS	ARS	ARS-RECORDINGS
REFERENCE	ARS	ARS-REF
SEE-OTHER	ARS	ARS-SEE-OTHER
STACKS	ARS	ARS-STACKS
WD-DIGISUB	ARS	ARS-WD-DIGITAL-SUB
WITHDRAWN	ARS	ARS-WITHDRAWN
ATCIRCDESK	ART	ART-ATCIRCDESK
CURRENTPER	ART	ART-CURRENTPER
FOLIO	ART	ART-FOLIO
INSTRUCTOR	ART	ART-INSTRUCTOR
ARTLCKL	ART	ART-LOCKED-LARGE
ARTLCKL-R	ART	ART-LOCKED-LARGE-R
ARTLCKM	ART	ART-LOCKED-MEDIUM
ARTLCKM-R	ART	ART-LOCKED-MEDIUM-R
ARTLCKO	ART	ART-LOCKED-OVERSIZE
ARTLCKO-R	ART	ART-LOCKED-OVERSIZE-R
ARTLCKS	ART	ART-LOCKED-SMALL
ARTLCKS-R	ART	ART-LOCKED-SMALL-R
MEDIA	ART	ART-MEDIA
*	ART	ART-MIGRATE-ERR
PAGE-AR	ART	ART-PAGE-AR
REFERENCE	ART	ART-REF
REF-FOLIO	ART	ART-REF-FOLIO
SEE-OTHER	ART	ART-SEE-OTHER
SHADOW	ART	ART-SHADOW
STACKS	ART	ART-STACKS
WD-DIGISUB	ART	ART-WD-DIGITAL-SUB
BUS-ARCH	BUSINESS	BUS-ARCH
ATCIRCDESK	BUSINESS	BUS-ATCIRCDESK
BUS-CMC	BUSINESS	BUS-CAREER
BUS-COMPF	BUSINESS	BUS-COMPF
INTERNET	BUSINESS	BUS-ELECTRONIC
INSTRUCTOR	BUSINESS	BUS-INSTRUCTOR
PAGE-IRON	BUSINESS	BUS-IRONMT
BUS-LOCKED	BUSINESS	BUS-LOCKED
MEDIA	BUSINESS	BUS-MEDIA
*	BUSINESS	BUS-MIGRATE-ERR
NEWS-STKS	BUSINESS	BUS-NEWS-STKS
PAGE-BU	BUSINESS	BUS-PAGE-BU
BUS-PER	BUSINESS	BUS-PER
PERM-RES	BUSINESS	BUS-PERMRES
REFERENCE	BUSINESS	BUS-REF
PAGE-BU	SAL3	BUS-SAL3-PAGE-BU
BUS-STACKS	SAL3	BUS-SAL3-STACKS
SDR	BUSINESS	BUS-SDR
SEE-OTHER	BUSINESS	BUS-SEE-OTHER
SHADOW	BUSINESS	BUS-SHADOW
STACKS	BUSINESS	BUS-STACKS
BUS-TEMP	BUSINESS	BUS-TEMP
BUS-MAKENA	BUSINESS	BUS-TP
WD-DIGISUB	BUSINESS	BUS-WD-DIGITAL-SUB
*	CLASSICS	CLA-MIGRATE-ERR
SEE-OTHER	CLASSICS	CLA-SEE-OTHER
STACKS	CLASSICS	CLA-STACKS
WD-DIGISUB	CLASSICS	CLA-WD-DIGITAL-SUB
ATCIRCDESK	EAST-ASIA	EAL-ATCIRCDESK
CHINESE	EAST-ASIA	EAL-CHINESE
CURRENTPER	EAST-ASIA	EAL-CURRENTPER
FOLIO-CHN	EAST-ASIA	EAL-FOLIO-CHINESE
FOLIO-JPN	EAST-ASIA	EAL-FOLIO-JAPANESE
FOLIO-KOR	EAST-ASIA	EAL-FOLIO-KOREAN
JAPANESE	EAST-ASIA	EAL-JAPANESE
KOREAN	EAST-ASIA	EAL-KOREAN
LOCKED-STK	EAST-ASIA	EAL-LOCKED
LOCK-STK-O	EAST-ASIA	EAL-LOCKED-OVERSIZE
MEDIA	EAST-ASIA	EAL-MEDIA
*	EAST-ASIA	EAL-MIGRATE-ERR
NEWSPAPERS	EAST-ASIA	EAL-NEWSPAPERS
PAGE-EA	EAST-ASIA	EAL-PAGE-EA
REFERENCE	EAST-ASIA	EAL-REF
SEE-OTHER	EAST-ASIA	EAL-SEE-OTHER
SETS	EAST-ASIA	EAL-SETS
SHADOW	EAST-ASIA	EAL-SHADOW
STAFSHADOW	EAST-ASIA	EAL-STAFFSHADOW
WD-DIGISUB	EAST-ASIA	EAL-WD-DIGITAL-SUB
ATCIRCDESK	EARTH-SCI	EAR-ATCIRCDESK
ATLASES	EARTH-SCI	EAR-ATLASES
BIB-INDEX	EARTH-SCI	EAR-BIB-INDEX
INSTRUCTOR	EARTH-SCI	EAR-INSTRUCTOR
LOCKED-MAP	EARTH-SCI	EAR-LOCKED-MAPS
LOCKED-STK	EARTH-SCI	EAR-LOCKED-STACKS
MAP-CASES	EARTH-SCI	EAR-MAP-CASES
MAP-FILE	EARTH-SCI	EAR-MAP-FILES
MEDIA	EARTH-SCI	EAR-MEDIA
MEZZANINE	EARTH-SCI	EAR-MEZZANINE
MICROTEXT	EARTH-SCI	EAR-MICROTEXT
