HOMELOCATION	LIBRARY	folio_code
*	ARS	ARS-MIGRATE-ERR
RECORDINGS	ARS	ARS-RECORDINGS
REFERENCE	ARS	ARS-REF
STACKS	ARS	ARS-STACKS
LOCKED-STK	ARS	ARS-LOCKED
FOLIO	ARS	ARS-FOLIO
ARTLCKS	ART	ART-LOCKED-SMALL
ARTLCKO-R	ART	ART-LOCKED-OVERSIZE-R
ARTLCKO	ART	ART-LOCKED-OVERSIZE
ARTLCKM-R	ART	ART-LOCKED-MEDIUM-R
REFERENCE	ART	ART-REF
ARTLCKL	ART	ART-LOCKED-LARGE
INSTRUCTOR	ART	ART-INSTRUCTOR
FOLIO	ART	ART-FOLIO
ARTLCKL-R	ART	ART-LOCKED-LARGE-R
CURRENTPER	ART	ART-CURRENTPER
ATCIRCDESK	ART	ART-ATCIRCDESK
REF-FOLIO	ART	ART-REF-FOLIO
STACKS	ART	ART-STACKS
*	ART	ART-MIGRATE-ERR
ARTLCKS-R	ART	ART-LOCKED-SMALL-R
ARTLCKM	ART	ART-LOCKED-MEDIUM
MEDIA	ART	ART-MEDIA
BUS-MAKENA	BUSINESS	BUS-TP
REFERENCE	BUSINESS	BUS-REF
PERM-RES	BUSINESS	BUS-PERMRES
BUS-PER	BUSINESS	BUS-PER
NEWS-STKS	BUSINESS	BUS-NEWS-STKS
MEDIA	BUSINESS	BUS-MEDIA
BUS-LOCKED	BUSINESS	BUS-LOCKED
STACKS	BUSINESS	BUS-STACKS
PAGE-IRON	BUSINESS	BUS-IRONMT
BUS-COMPF	BUSINESS	BUS-COMPF
BUS-CMC	BUSINESS	BUS-CAREER
ATCIRCDESK	BUSINESS	BUS-ATCIRCDESK
BUS-ARCH	BUSINESS	BUS-ARCH
*	BUSINESS	BUS-MIGRATE-ERR
INSTRUCTOR	BUSINESS	BUS-INSTRUCTOR
BUS-TEMP	BUSINESS	BUS-TEMP
*	CLASSICS	CLA-MIGRATE-ERR
STACKS	CLASSICS	CLA-STACKS
*	EARTH-SCI	EAR-MIGRATE-ERR
ATCIRCDESK	EARTH-SCI	EAR-ATCIRCDESK
ATLASES	EARTH-SCI	EAR-ATLASES
BIB-INDEX	EARTH-SCI	EAR-BIB-INDEX
INSTRUCTOR	EARTH-SCI	EAR-INSTRUCTOR
LOCKED-MAP	EARTH-SCI	EAR-LOCKED-MAPS
LOCKED-STK	EARTH-SCI	EAR-LOCKED-STACKS
MAP-CASES	EARTH-SCI	EAR-MAP-CASES
